"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E30C183)", ,"E30C183[00100]"
"Line(00100)", ,"1208322"
"Line(00200)", ,"0"
"Line(00300)", ,"130499"
"Line(00400)", ,"18729"
"Line(00500)", ,"2"
"Line(00700)", ,"1"
"Line(00900)", ,"1"
"Line(01000)", ,"12"
"Line(01100)", ,"0"
"Line(01200)", ,"66788"
"Line(01300)", ,"2090742"
"Line(01700)", ,"2090742"
"Line(01900)", ,"2090742"
"Line(02000)", ,"20100"
"Line(02100)", ,"2070642"
"Line(02200)", ,"12136"
"Line(02300)", ,"2058506"
"Line(02400)", ,"41951"
"Line(02500)", ,"27268"
"Line(02600)", ,"3277"
"Line(02700)", ,"2085774"
"Line(02900)", ,"715"
"Line(03200)", ,"2086489"
"Line(03201)", ,"31506"
"Line(03300)", ,"1798456"
"Line(03500)", ,"256527"
