"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E40A180)", ,"E40A180[00100]","E40A180[00200]","E40A180[00300]"
"Line(00100)", ,"243"
"Line(00300)", ,"11"
"Line(00400)", ,"31"
"Line(00500)", ,"263"
"Line(00600)", ,"284"
"Line(00700)", ,"263"
"Line(00800)", ,"94","151","245"
"Line(00900)", ,"87","139","227"
"Line(01000)", , ,"1"
"Line(01100)", ,"87","140"
"Line(01200)", ,"81","141"
"Line(01300)", ,"78","138"
"Line(01400)", ,"82","140"
"Line(01700)", ,"82","140"
"Line(01800)", ,"140096","140096"
"Line(01900)", ,"11483693","19570051","31053744"
"Line(02100)", ,"21"
"Line(02500)", ,"31053744"
"Line(02600)", ,"46534","38687"
"Line(02700)", ,"180993","180993"
"Line(02800)", ,"0","0"
"Line(02900)", ,"7984042","6637707"
"Line(03000)", , ,"937908"
"Line(03100)", , , ,"13683841"
"Line(03300)", ,"16150548"
"Line(03700)", ,"110938601"
"Line(03800)", ,"14328528"
"Line(04000)", ,"552604"
"Line(04100)", ,"124714525"
"Line(04200)", ,"66843107"
"Line(04300)", ,"102415"
"Line(04400)", ,"66740692"
"Line(04500)", ,"191455217"
"Line(04600)", ,"1"
"Line(04700)", ,"0"
"Line(04800)", ,"13683841"
"Line(04900)", ,"8913695"
