"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E30B182)", ,"E30B182[00100]"
"Line(00100)", ,"582217"
"Line(00400)", ,"2"
"Line(00600)", ,"3"
"Line(00800)", ,"2"
"Line(00900)", ,"11"
"Line(01000)", ,"0"
"Line(01100)", ,"56658"
"Line(01200)", ,"638875"
"Line(01600)", ,"638875"
"Line(01700)", ,"4925"
"Line(01800)", ,"633950"
"Line(01900)", ,"74592"
"Line(02000)", ,"559358"
"Line(02100)", ,"4144"
"Line(02200)", ,"555214"
"Line(02300)", ,"52404"
"Line(02400)", ,"34063"
"Line(02500)", ,"19527"
"Line(02600)", ,"589277"
"Line(02800)", ,"316"
"Line(03100)", ,"589593"
"Line(03101)", ,"8903"
"Line(03200)", ,"555651"
