"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G000000)", ,"G000000[00100]"
"Line(00100)", ,"199006941"
"Line(00200)", ,"3759247"
"Line(00400)", ,"118096112"
"Line(00500)", ,"19420848"
"Line(00700)", ,"25876986"
"Line(00800)", ,"15825696"
"Line(00900)", ,"7487159"
"Line(01100)", ,"389472989"
"Line(01200)", ,"3733474"
"Line(01300)", ,"18132104"
"Line(01400)", ,"-14911258"
"Line(01500)", ,"209277896"
"Line(01600)", ,"-112724891"
"Line(01700)", ,"45564151"
"Line(01800)", ,"-23500174"
"Line(01900)", ,"151616520"
"Line(02000)", ,"-120826642"
"Line(02200)", ,"-144564414"
"Line(02300)", ,"494956515"
"Line(02400)", ,"-348339253"
"Line(02500)", ,"19825406"
"Line(03000)", ,"178239434"
"Line(03400)", ,"7171897"
"Line(03500)", ,"7171897"
"Line(03600)", ,"574884320"
"Line(03700)", ,"72783385"
"Line(03800)", ,"78731804"
"Line(04400)", ,"28360170"
"Line(04500)", ,"179875359"
"Line(04700)", ,"5079664"
"Line(04800)", ,"-200254843"
"Line(04900)", ,"25487832"
"Line(05000)", ,"-169687347"
"Line(05100)", ,"10188012"
"Line(05200)", ,"564696308"
"Line(05900)", ,"564696308"
