"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E30B057)","E30B057[00000]","E30B057[00100]"
"Line(00100)", ,"138179"
"Line(00700)", ,"138179"
"Line(00800)", ,"395444"
"Line(00900)", ,"89804"
"Line(01200)", ,"485248"
"Line(01600)", ,"485248"
"Line(01700)", ,"347069"
"Line(02100)", ,"138179"
"Line(02900)", ,"138179"
"Line(03100)", ,"138179"
"Line(03600)", ,"138179"
"Line(03700)","MAGELLAN ADJUSTMENT-NO SETTLEMENT","-100237"
"Line(03800)", ,"37942"
"Line(04000)", ,"37942"
