"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E10C181)","E10C181[00000]","E10C181[00100]","E10C181[00200]"
"Line(00100)", , ,"1798456"
"Line(00400)", , ,"1798456"
"Line(00700)", , ,"2054983"
