"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D00A183)", , , , , , ,"D00A183[00600]", ,"D00A183[00800]"
"Line(03000)", , , , , , ,"141766", ,"35391"
"Line(03100)", , , , , , ,"17774", ,"8115"
"Line(03200)", , , , , , ,"10338", ,"900"
"Line(03500)", , , , , , ,"3077", ,"4"
"Line(03501)", , , , , , ,"13736"
"Line(04000)", , , , , , ,"3842", ,"764"
"Line(04100)", , , , , , ,"4440", ,"1360"
"Line(04300)", , , , , , ,"6409"
"Line(04400)", , , , , , ,"9812", ,"3424"
