"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E00A18A)","E00A18A[00000]","E00A18A[00100]","E00A18A[00200]"
"Line(00101)", ,"54931103"
"Line(00102)", ,"19853585"
"Line(00200)", ,"4417280"
"Line(00300)", ,"63673134"
"Line(00400)", ,"712"
"Line(00500)", ,"188"
"Line(00800)", ,"36"
"Line(00900)", ,"224"
"Line(01000)", ,"275"
"Line(01100)", ,"1"
"Line(01200)", ,"225"
"Line(01300)", ,"214"
"Line(01400)", ,"211"
"Line(01500)", ,"217"
"Line(01800)", ,"217"
"Line(01900)", ,"0"
"Line(02000)", ,"0"
"Line(02100)", ,"0"
"Line(02200)", ,"21226276"
"Line(02400)", ,"51"
"Line(02900)", ,"21226276"
"Line(03000)", ,"0"
"Line(03100)", ,"0"
"Line(03200)", ,"0"
"Line(03300)", ,"0"
"Line(03400)", ,"12428109"
"Line(03500)", , ,"2147483647"
"Line(03501)", , ,"0"
"Line(03502)", , ,"14059608"
"Line(03503)", , ,"3543794"
"Line(03600)", ,"3543794"
"Line(04700)", ,"116400147"
"Line(04900)", ,"116400147"
"Line(05000)", ,"7755936"
"Line(05200)", ,"8913695"
"Line(05300)", ,"412268"
"Line(05500)", ,"14328528"
"Line(05800)", ,"145067"
"Line(05900)", ,"147955641"
"Line(06000)", ,"544374"
"Line(06100)", ,"147411267"
"Line(06200)", ,"5744502"
"Line(06300)", ,"1004453"
"Line(06400)", ,"2949312"
"Line(06500)", ,"1917053"
"Line(06600)", ,"1486891"
"Line(06700)", ,"142579365"
"Line(07000)","PS&R OTHER ADJUSTMENTS","-6846"
"Line(07093)", ,"-113946"
"Line(07094)", ,"-583370"
"Line(07100)", ,"141875203"
"Line(07101)", ,"2142316"
"Line(07200)", ,"138660487"
"Line(07400)", ,"1072400"
"Line(07500)", ,"86755"
"Line(09000)", ,"4417280"
