"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D30A180)", ,"D30A180[00100]","D30A180[00200]","D30A180[00300]"
"Line(03000)", , ,"2399066"
"Line(03101)", , ,"338234"
"Line(03103)", , ,"838800"
"Line(05000)", ,"0","548887","189719"
"Line(05100)", ,"0","96072","29994"
"Line(05200)", ,"1","58639","55188"
"Line(05300)", ,"0","188684","28594"
"Line(05400)", ,"0","280649","101603"
"Line(05700)", ,"0","38025","5122"
"Line(05800)", ,"0","8840","1224"
"Line(05900)", ,"0","67110","21589"
"Line(06000)", ,"0","1615378","366634"
"Line(06200)", ,"0","134116","58311"
"Line(06500)", ,"0","330022","94822"
"Line(06600)", ,"0","51313","24349"
"Line(06800)", ,"1","3698","2158"
"Line(06900)", ,"0","98007","11755"
"Line(07000)", ,"0","22764","9030"
"Line(07100)", ,"0","171224","59033"
"Line(07200)", ,"0","62458","23162"
"Line(07300)", ,"0","2784251","636212"
"Line(07301)", ,"2"
"Line(07400)", ,"1","459079","306934"
"Line(07600)", ,"1"
"Line(07601)", ,"1"
"Line(07602)", ,"0","50110","12942"
"Line(07603)", ,"1","1611","862"
"Line(07604)", ,"1"
"Line(07605)", ,"0","9250","3107"
"Line(09000)", ,"1","3733","4303"
"Line(09001)", ,"0","822","337"
"Line(09100)", ,"0","138757","32319"
"Line(09200)", ,"1","2098","1096"
"Line(09201)", ,"0"
"Line(09400)", ,"1"
"Line(20000)", , ,"7225597","2080399"
