"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D4K0000)", ,"D4K0000[00100]","D4K0000[00200]","D4K0000[00300]","D4K0000[00400]"
"Line(00100)", ,"84490","1498","28","41953"
"Line(00201)", ,"35224","2364","8","18912"
"Line(00202)", , ,"2140"
"Line(00203)", , ,"2502"
"Line(00700)", ,"119714", ,"36","60865"
"Line(00800)", ,"0","194315","67164"
"Line(00900)", ,"0","12950","4043"
"Line(01000)", ,"1"
"Line(01100)", ,"0","49120","7444"
"Line(01200)", ,"0","59888","21681"
"Line(01500)", ,"0"
"Line(01600)", ,"0"
"Line(01700)", ,"0"
"Line(01800)", ,"0","1351396","306720"
"Line(02000)", ,"0","12746","5542"
"Line(02300)", ,"0","18222","5236"
"Line(02400)", ,"0","928","440"
"Line(02600)", ,"1"
"Line(02700)", ,"0","72552","8702"
"Line(02800)", ,"0"
"Line(02900)", ,"0","2829","975"
"Line(03000)", ,"0"
"Line(03100)", ,"0","64606","14763"
"Line(03101)", ,"2"
"Line(03200)", ,"1"
"Line(03400)", ,"1"
"Line(03401)", ,"1"
"Line(03402)", ,"0"
"Line(03403)", ,"1"
"Line(03404)", ,"1"
"Line(03405)", ,"0"
"Line(03700)", ,"1","2919","3364"
"Line(03701)", ,"0"
"Line(03800)", ,"0"
"Line(03900)", ,"1"
"Line(03901)", ,"0"
"Line(04100)", , ,"1842471","446074"
"Line(04200)", ,"10","28","280"
"Line(04301)", , ,"8"
"Line(04800)", , ,"36","280"
"Line(05100)", ,"2919"
"Line(05500)", ,"2919"
"Line(05600)", ,"506939", ,"1962185"
"Line(05700)", ,"280"
"Line(05900)", ,"940664", ,"923530"
"Line(06100)", ,"1447883", ,"2885715"
"Line(06200)", , ,"34"
"Line(06300)", , ,"25"
"Line(06400)", , ,"1"
"Line(06500)", ,"1064620", ,"2121849"
"Line(06600)", ,"81897"
"Line(06700)", ,"982723", ,"2121849"
"Line(06900)", ,"982723", ,"2121849"
"Line(07000)", ,"8","12"
"Line(07100)", , ,"14"
"Line(07400)", ,"8","26"
"Line(07500)", ,"8","12"
"Line(07700)", , ,"14"
