"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (I4H0010)", ,"I4H0010[00100]","I4H0010[00200]","I4H0010[00300]", ,"I4H0010[00500]"
"Line(00100)", ,"66","8475","128", ,"2055"
"Line(00600)", ,"30","44575","1486"
"Line(00700)", ,"303","311781","1029", ,"157434"
"Line(00800)", ,"29"
"Line(01000)", ,"1010","1549859","1535", ,"604597"
"Line(01100)", ,"428","1914690", , ,"764086"
