"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (S300005)", ,"S300005[00100]","S300005[00200]"
"Line(00100)", ,"3258556","162137430"
"Line(00200)", ,"3258556","158315979"
"Line(00300)", , ,"3371402"
