"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E40A180)", ,"E40A180[00100]","E40A180[00200]","E40A180[00300]"
"Line(00100)", ,"174"
"Line(00300)", ,"1"
"Line(00500)", ,"173"
"Line(00600)", ,"233"
"Line(00700)", ,"173"
"Line(00800)", ,"127","94","221"
"Line(00900)", ,"94","70","164"
"Line(01000)", , ,"9"
"Line(01100)", ,"94","79"
"Line(01200)", ,"95","77"
"Line(01300)", ,"96","77"
"Line(01400)", ,"95","78"
"Line(01700)", ,"95","78"
"Line(01800)", ,"128824","128462"
"Line(01900)", ,"12266606","9982799","22249405"
"Line(02100)", ,"60"
"Line(02500)", ,"22249405"
"Line(02600)", ,"73811","14325"
"Line(02700)", ,"271207","271207"
"Line(02800)", ,"0","0"
"Line(02900)", ,"6055331","1175191"
"Line(03000)", , ,"166054"
"Line(03100)", , , ,"7064468"
"Line(03200)", ,"1739"
"Line(03300)", ,"14975699"
"Line(03400)", ,"0"
"Line(03700)", ,"187822757"
"Line(03800)", ,"12421799"
"Line(04000)", ,"420494"
"Line(04100)", ,"199824062"
"Line(04200)", ,"92298496"
"Line(04300)", ,"15230"
"Line(04400)", ,"92283266"
"Line(04500)", ,"292107328"
"Line(04600)", ,"1"
"Line(04700)", ,"0"
"Line(04800)", ,"7064468"
"Line(04900)", ,"4832647"
