"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"E00A18A[00100]","E00A18A[00200]", , , , , , , , , , , , , , , , , 
 ,"89700788", , , , , , , , , , , , , , , , , , 
 ,"34364222", , , , , , , , , , , , , , , , , , 
 ,"7467663", , , , , , , , , , , , , , , , , , 
 ,"23970787", , , , , , , , , , , , , , , , , , 
 ,"868", , , , , , , , , , , , , , , , , , 
 ,"173", , , , , , , , , , , , , , , , , , 
 ,"173", , , , , , , , , , , , , , , , , , 
 ,"231", , , , , , , , , , , , , , , , , , 
 ,"10", , , , , , , , , , , , , , , , , , 
 ,"183", , , , , , , , , , , , , , , , , , 
 ,"182", , , , , , , , , , , , , , , , , , 
 ,"181", , , , , , , , , , , , , , , , , , 
 ,"182", , , , , , , , , , , , , , , , , , 
 ,"182", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"16016585", , , , , , , , , , , , , , , , , , 
 ,"59", , , , , , , , , , , , , , , , , , 
 ,"16016585", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"24897324", , , , , , , , , , , , , , , , , , 
 , ,"2147483647", , , , , , , , , , , , , , , , , 
 , ,"0", , , , , , , , , , , , , , , , , 
 , ,"24016158", , , , , , , , , , , , , , , , , 
 , ,"6053393", , , , , , , , , , , , , , , , , 
 ,"6053393", , , , , , , , , , , , , , , , , , 
 ,"178499975", , , , , , , , , , , , , , , , , , 
 ,"178499975", , , , , , , , , , , , , , , , , , 
 ,"12294951", , , , , , , , , , , , , , , , , , 
 ,"4832647", , , , , , , , , , , , , , , , , , 
 ,"578903", , , , , , , , , , , , , , , , , , 
 ,"21450", , , , , , , , , , , , , , , , , , 
 ,"12421799", , , , , , , , , , , , , , , , , , 
 ,"1266180", , , , , , , , , , , , , , , , , , 
 ,"872552", , , , , , , , , , , , , , , , , , 
 ,"210788457", , , , , , , , , , , , , , , , , , 
 ,"420410", , , , , , , , , , , , , , , , , , 
 ,"210368047", , , , , , , , , , , , , , , , , , 
 ,"9280468", , , , , , , , , , , , , , , , , , 
 ,"723115", , , , , , , , , , , , , , , , , , 
 ,"3438544", , , , , , , , , , , , , , , , , , 
 ,"2235054", , , , , , , , , , , , , , , , , , 
 ,"1967310", , , , , , , , , , , , , , , , , , 
 ,"202599518", , , , , , , , , , , , , , , , , , 
 ,"-58866", , , , , , , , , , , , , , , , , , 
 ,"-575194", , , , , , , , , , , , , , , , , , 
 ,"201965458", , , , , , , , , , , , , , , , , , 
 ,"3049678", , , , , , , , , , , , , , , , , , 
