"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E30B182)", ,"E30B182[00100]"
"Line(00100)", ,"3672135"
"Line(00200)", ,"4564"
"Line(00300)", ,"13478"
"Line(00900)", ,"68"
"Line(01200)", ,"3690177"
"Line(01600)", ,"3690177"
"Line(01700)", ,"84"
"Line(01800)", ,"3690093"
"Line(01900)", ,"355964"
"Line(02000)", ,"3334129"
"Line(02100)", ,"163564"
"Line(02200)", ,"3170565"
"Line(02300)", ,"206576"
"Line(02400)", ,"134274"
"Line(02500)", ,"128003"
"Line(02600)", ,"3304839"
"Line(02800)", ,"76050"
"Line(03100)", ,"3380889"
"Line(03101)", ,"51051"
"Line(03200)", ,"3429201"
"Line(03400)", ,"-99363"
"Line(03500)", ,"51051"
