"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E30C183)", ,"E30C183[00100]"
"Line(00100)", ,"20242"
"Line(00300)", ,"4129"
"Line(01000)", ,"9"
"Line(01300)", ,"24371"
"Line(01700)", ,"24371"
"Line(01900)", ,"24371"
"Line(02000)", ,"1184"
"Line(02100)", ,"23187"
"Line(02300)", ,"23187"
"Line(02700)", ,"23187"
"Line(02900)", ,"53"
"Line(03200)", ,"23240"
"Line(03201)", ,"351"
"Line(03300)", ,"22744"
"Line(03500)", ,"145"
