"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E10A181)","E10A181[00000]","E10A181[00100]","E10A181[00200]","E10A181[00300]","E10A181[00400]"
"Line(00100)", , ,"199367939", ,"58858489"
"Line(00301)", ,"07/10/2013","126288","09/04/2013","175742"
"Line(00350)", ,"09/04/2013","524624","07/10/2013","43669"
"Line(00399)", , ,"-398336", ,"132073"
"Line(00400)", , ,"198969603", ,"58990562"
"Line(00602)", , ,"53823"
"Line(00700)", , ,"198915780", ,"59987286"
