"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D30A180)", ,"D30A180[00100]","D30A180[00200]","D30A180[00300]"
"Line(03000)", , ,"101503892"
"Line(03100)", , ,"8678254"
"Line(03200)", , ,"5405556"
"Line(03201)", , ,"2297071"
"Line(03401)", , ,"12804869"
"Line(03402)", , ,"6854507"
"Line(03403)", , ,"5509880"
"Line(03404)", , ,"102393"
"Line(03405)", , ,"216377"
"Line(03406)", , ,"262743"
"Line(05000)", ,"0","80301902","10575359"
"Line(05001)", ,"6","270","1514"
"Line(05100)", ,"0","7794584","1932878"
"Line(05200)", ,"0","252345","90254"
"Line(05300)", ,"0","66631126","3636660"
"Line(05400)", ,"0","25374208","3978270"
"Line(05500)", ,"0","1404263","201825"
"Line(05600)", ,"0","1523310","233840"
"Line(05700)", ,"0","25377710","713393"
"Line(05800)", ,"0","7637126","534309"
"Line(05900)", ,"0","26790082","3106658"
"Line(06000)", ,"0","80940380","11800946"
"Line(06001)", ,"0","319378","100117"
"Line(06002)", ,"0","427252","73371"
"Line(06500)", ,"0","19284098","6310065"
"Line(06600)", ,"0","7498029","2854905"
"Line(06800)", ,"0","1400038","634342"
"Line(06900)", ,"0","9800412","871992"
"Line(07100)", ,"1","20909932","16085509"
"Line(07200)", ,"0","74441269","23919543"
"Line(07300)", ,"0","56425561","15541574"
"Line(07400)", ,"0","3629531","1063322"
"Line(07500)", ,"0","1735796","340289"
"Line(07601)", ,"6","18735","104338"
"Line(07602)", ,"1","546916","340765"
"Line(07603)", ,"0","4999391","1458082"
"Line(07697)", ,"1","142588","95550"
"Line(09000)", ,"1","742","868"
"Line(09001)", ,"3"
"Line(09002)", ,"2","345","548"
"Line(09003)", ,"2","66859","158547"
"Line(09004)", ,"3","14431","49145"
"Line(09005)", ,"1"
"Line(09006)", ,"3"
"Line(09007)", ,"1","1699","1428"
"Line(09008)", ,"2","54","114"
"Line(09009)", ,"1","9463","7002"
"Line(09010)", ,"1"
"Line(09011)", ,"4","7299","30680"
"Line(09012)", ,"1"
"Line(09013)", ,"8","2525","21114"
"Line(09014)", ,"1","7136","7360"
"Line(09015)", ,"0","137389","48818"
"Line(09016)", ,"1","3859","4786"
"Line(09017)", ,"2","143","352"
"Line(09020)", ,"1","5361","7034"
"Line(09021)", ,"0","2180196","707947"
"Line(09022)", ,"0","43885","8302"
"Line(09023)", ,"0"
"Line(09024)", ,"0","3071","901"
"Line(09025)", ,"3","732","2357"
"Line(09100)", ,"0","19230623","3875759"
"Line(09101)", ,"1"
"Line(09102)", ,"0"
"Line(09103)", ,"0","759534","92985"
"Line(09200)", ,"1","2020014","1257643"
"Line(09201)", ,"0","425004","137651"
"Line(09202)", ,"0"
"Line(20000)", , ,"550526596","113021011"
