"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G000000)", ,"G000000[00100]"
"Line(00100)", ,"30447"
"Line(00400)", ,"299929902"
"Line(00500)", ,"374424557"
"Line(00600)", ,"-139331249"
"Line(00700)", ,"7426486"
"Line(00800)", ,"1572005"
"Line(01100)", ,"544052148"
"Line(01200)", ,"10647034"
"Line(01300)", ,"7089181"
"Line(01500)", ,"682252622"
"Line(01600)", ,"-441630804"
"Line(01700)", ,"13658120"
"Line(02300)", ,"325181561"
"Line(02400)", ,"-3835786"
"Line(02900)", ,"76437"
"Line(03000)", ,"593438365"
"Line(03100)", ,"1953863143"
"Line(03400)", ,"1342123"
"Line(03500)", ,"1955205266"
"Line(03600)", ,"2147483647"
"Line(03700)", ,"6523948"
"Line(04000)", ,"10842083"
"Line(04300)", ,"63631416"
"Line(04400)", ,"815014"
"Line(04500)", ,"81812461"
"Line(04900)", ,"8684522"
"Line(05000)", ,"8684522"
"Line(05100)", ,"90496983"
"Line(05200)", ,"2147483647"
"Line(05900)", ,"2147483647"
