"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E10B181)","E10B181[00000]","E10B181[00100]","E10B181[00200]", ,"E10B181[00400]"
"Line(00100)", , ,"3470276", ,"58"
"Line(00400)", , ,"3470276", ,"58"
"Line(00700)", , ,"3691666", ,"58"
