"","PART I - ANALYSIS OF CHANGES IN CAPITAL ASSET BALANCES","","","","","","","","",""
"","","","","","Acquisitions","","","Disposals","","Fully"
"","","","","Beginning","","","","and","Ending","Depreciated"
"","","Description","","Balances","Purchases","Donation","Total","Retirements","Balance","Assets"
"","","","","1","2","3","4","5","6","7"
"Report (A700003)", ,"A700003[00100]", ,"A700003[00300]","A700003[00400]", , , , ,"A700003[00900]", ,"A700003[01100]","A700003[01200]", , ,"A700003[01500]"
"Line(00100)", ,"519649359", ,"519649359","1", , , , ,"22291139", ,"5413210","161050", , ,"27865399"
"Line(00200)", ,"366214054", ,"366214054","0", , , , ,"37862372", ,"-140861","113278", , ,"37834789"
