"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E40A180)", ,"E40A180[00100]","E40A180[00200]","E40A180[00300]"
"Line(00100)", ,"457"
"Line(00200)", ,"5"
"Line(00500)", ,"462"
"Line(00600)", ,"608"
"Line(00700)", ,"462"
"Line(00800)", ,"146","390","537"
"Line(00900)", ,"111","297","408"
"Line(01000)", , ,"47"
"Line(01100)", ,"111","344"
"Line(01200)", ,"116","335"
"Line(01300)", ,"117","334"
"Line(01400)", ,"115","338"
"Line(01700)", ,"115","338"
"Line(01800)", ,"89690","84929"
"Line(01900)", ,"10305397","28677018","38982415"
"Line(02100)", ,"146"
"Line(02500)", ,"38982415"
"Line(02600)", ,"52900","50972"
"Line(02700)", ,"265266","265266"
"Line(02800)", ,"0","0"
"Line(02900)", ,"7773951","7490627"
"Line(03000)", , ,"1058426"
"Line(03100)", , , ,"14206152"
"Line(03300)", ,"15829842"
"Line(03700)", ,"92776644"
"Line(03800)", ,"5335942"
"Line(04000)", ,"1202023"
"Line(04100)", ,"96910563"
"Line(04200)", ,"53292114"
"Line(04300)", ,"6344"
"Line(04400)", ,"53285770"
"Line(04500)", ,"150196333"
"Line(04600)", ,"1"
"Line(04700)", ,"0"
"Line(04800)", ,"14206152"
"Line(04900)", ,"9166179"
