"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D30A180)", ,"D30A180[00100]","D30A180[00200]","D30A180[00300]"
"Line(03000)", , ,"52585969"
"Line(03100)", , ,"13971579"
"Line(03101)", , ,"49550"
"Line(03300)", , ,"7366100"
"Line(05000)", ,"0","18938644","9222400"
"Line(05100)", ,"1","594425","736683"
"Line(05200)", ,"0","151021","48251"
"Line(05300)", ,"1","293504","260471"
"Line(05400)", ,"0","8104087","2595042"
"Line(05500)", ,"0","634851","136434"
"Line(05700)", ,"0","7451612","739103"
"Line(05800)", ,"0","2315346","418689"
"Line(06000)", ,"0","13459042","4002369"
"Line(06300)", ,"0","3874160","1535698"
"Line(06500)", ,"0","6757659","1539685"
"Line(06600)", ,"0","1614913","476349"
"Line(06700)", ,"1","260649","164067"
"Line(06900)", ,"0","831092","75977"
"Line(07000)", ,"0","418029","120080"
"Line(07200)", ,"1","9293568","4774375"
"Line(07300)", ,"0","13592233","6300041"
"Line(07400)", ,"0","6772558","939936"
"Line(07500)", ,"0","852167","372099"
"Line(07601)", ,"0","640275","239147"
"Line(07603)", ,"0","7228921","1791233"
"Line(07605)", ,"0","1052119","424167"
"Line(07606)", ,"1","219981","123982"
"Line(07608)", ,"0","289650","111885"
"Line(07614)", ,"0","2583525","510507"
"Line(07618)", ,"0","1160922","398735"
"Line(07631)", ,"0","245163","85586"
"Line(07650)", ,"0","96355","47294"
"Line(07651)", ,"0","17529","5283"
"Line(07654)", ,"1","535","460"
"Line(07655)", ,"0","702376","266143"
"Line(07656)", ,"0"
"Line(07658)", ,"1"
"Line(07659)", ,"0"
"Line(07698)", ,"0","11982","5444"
"Line(07699)", ,"0","67801","8529"
"Line(09000)", ,"1","282788","178065"
"Line(09001)", ,"1"
"Line(09020)", ,"1","2851","1689"
"Line(09025)", ,"1"
"Line(09026)", ,"20"
"Line(09028)", ,"1","7034","4394"
"Line(09029)", ,"1","1268","1555"
"Line(09040)", ,"0","2292","542"
"Line(09100)", ,"0","7306694","2099652"
"Line(09101)", ,"0","470471","214540"
"Line(09202)", ,"1"
"Line(20000)", , ,"118600092","40976581"
