"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E30C197)", ,"E30C197[00100]"
"Line(00100)", ,"348908"
"Line(00700)", ,"348908"
"Line(01800)", ,"348908"
