"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D00A183)", , ,"D00A183[00200]", , ,"D00A183[00500]","D00A183[00600]","D00A183[00700]","D00A183[00800]","D00A183[00900]"
"Line(03000)", , ,"550036", , ,"550036","174291","3","38941","123054"
"Line(03100)", , ,"75708", , ,"75708","26084","3","5943","17235"
"Line(03101)", , ,"48052", , ,"48052","6191","8","12","93"
"Line(03300)", , ,"47536", , ,"47536","7704","6","1133","6991"
"Line(03500)", , ,"26161", , ,"26161","19882","1"
"Line(04000)", , ,"69498", , ,"69498","25298","3","5453","14996"
"Line(04100)", , ,"5987", , ,"5987","5816","1","1418","1461"
"Line(04300)", , , , , , ,"6477"
