"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E30B182)", ,"E30B182[00100]"
"Line(00100)", ,"3744971"
"Line(00200)", ,"165668"
"Line(00300)", ,"34135"
"Line(00400)", ,"13"
"Line(00600)", ,"7"
"Line(00800)", ,"7"
"Line(00900)", ,"69"
"Line(01000)", ,"0"
"Line(01100)", ,"188645"
"Line(01200)", ,"4133419"
"Line(01600)", ,"4133419"
"Line(01700)", ,"358"
"Line(01800)", ,"4133061"
"Line(01900)", ,"267304"
"Line(02000)", ,"3865757"
"Line(02100)", ,"133475"
"Line(02200)", ,"3732282"
"Line(02600)", ,"3732282"
"Line(02800)", ,"15983"
"Line(03100)", ,"3748265"
"Line(03101)", ,"56599"
"Line(03200)", ,"3470276"
"Line(03400)", ,"221390"
