"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E10A181)","E10A181[00000]","E10A181[00100]","E10A181[00200]","E10A181[00300]","E10A181[00400]"
"Line(00100)", , ,"155824325", ,"71038414"
"Line(00301)", ,"03/18/2014","684848"
"Line(00302)", ,"06/26/2014","138410"
"Line(00351)", , , ,"03/18/2014","417937"
"Line(00352)", , , ,"06/26/2014","334212"
"Line(00399)", , ,"823258", ,"-752149"
"Line(00400)", , ,"156647583", ,"70286265"
"Line(00700)", , ,"159902380", ,"73047561"
