"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E40A180)", ,"E40A180[00100]","E40A180[00200]","E40A180[00300]"
"Line(00100)", ,"322"
"Line(00200)", ,"6"
"Line(00500)", ,"329"
"Line(00600)", ,"415"
"Line(00700)", ,"329"
"Line(00800)", ,"136","235","371"
"Line(00900)", ,"108","187","294"
"Line(01000)", , ,"13"
"Line(01100)", ,"108","200"
"Line(01200)", ,"124","226"
"Line(01300)", ,"103","201"
"Line(01400)", ,"111","209"
"Line(01700)", ,"111","209"
"Line(01800)", ,"107608","101899"
"Line(01900)", ,"11985406","21293736","33279142"
"Line(02100)", ,"86"
"Line(02500)", ,"33279142"
"Line(02600)", ,"55121","4964"
"Line(02700)", ,"129926","129926"
"Line(02800)", ,"0","0"
"Line(02900)", ,"14118643","1271463"
"Line(03000)", , ,"179658"
"Line(03100)", , , ,"15210448"
"Line(03300)", ,"30845086"
"Line(03700)", ,"161074362"
"Line(03800)", ,"9887250"
"Line(04000)", ,"81605"
"Line(04100)", ,"170880007"
"Line(04200)", ,"97821875"
"Line(04300)", ,"27350"
"Line(04400)", ,"97794525"
"Line(04500)", ,"268674532"
"Line(04600)", ,"1"
"Line(04700)", ,"0"
"Line(04800)", ,"15210448"
"Line(04900)", ,"9674012"
