"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (H410182)", ,"H410182[00100]","H410182[00200]"
"Line(01000)", , ,"-1925"
"Line(01100)", ,"446111","1686140"
"Line(01200)", ,"16100","42399"
"Line(01500)", ,"4829","17248"
"Line(02200)", ,"467040","1743862"
"Line(02400)", ,"467040","1743862"
"Line(02600)", ,"467040","1743862"
"Line(02900)", ,"467040","1743862"
"Line(03100)", ,"467040","1743862"
"Line(03101)", ,"9340","34877"
