"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D4L0000)", ,"D4L0000[00100]","D4L0000[00200]","D4L0000[00300]","D4L0000[00400]"
"Line(00100)", ,"2360","1069","1","1069"
"Line(00200)", ,"8594","1822","2","3644"
"Line(00400)", , ,"4316"
"Line(00600)", , ,"1561"
"Line(00601)", , ,"2735"
"Line(00603)", , ,"2017"
"Line(00604)", , ,"2461"
"Line(00700)", ,"10954", ,"3","4713"
"Line(00800)", ,"1","19723","10494"
"Line(00801)", ,"0"
"Line(00900)", ,"0"
"Line(01000)", ,"1"
"Line(01100)", ,"0","19362","1393"
"Line(01200)", ,"0","201910","48924"
"Line(01201)", ,"0","36223","3980"
"Line(01400)", ,"0","310039","63186"
"Line(01500)", ,"0","102533","7561"
"Line(01600)", ,"0","125631","12577"
"Line(01700)", ,"0","69548","18073"
"Line(01800)", ,"0","636430","64419"
"Line(01801)", ,"0","11846","2139"
"Line(01803)", ,"1"
"Line(02100)", ,"0","33213","9405"
"Line(02300)", ,"0","2606","689"
"Line(02400)", ,"0"
"Line(02500)", ,"0"
"Line(02600)", ,"1"
"Line(02700)", ,"0","245820","44047"
"Line(02800)", ,"0"
"Line(02900)", ,"2"
"Line(03100)", ,"0","50880","16629"
"Line(03200)", ,"0","56507","12857"
"Line(03400)", ,"0","5687","2012"
"Line(03401)", ,"3"
"Line(03404)", ,"0","9305","1251"
"Line(03407)", ,"0","19239","5554"
"Line(03409)", ,"1"
"Line(03410)", ,"3"
"Line(03411)", ,"7270"
"Line(03700)", ,"1"
"Line(03701)", ,"1"
"Line(03702)", ,"0","1689","844"
"Line(03703)", ,"7","143","1038"
"Line(03707)", ,"0","113588","48008"
"Line(03708)", ,"0","481","180"
"Line(03709)", ,"1","82","75"
"Line(03710)", ,"0","105","48"
"Line(03712)", ,"1"
"Line(03714)", ,"1"
"Line(03715)", ,"1"
"Line(03716)", ,"1"
"Line(03718)", ,"1","70","71"
"Line(03720)", ,"1"
"Line(03721)", ,"1"
"Line(03722)", ,"0","8423","3911"
"Line(03723)", ,"1","41","54"
"Line(03724)", ,"0","15051","5728"
"Line(03725)", ,"1"
"Line(03726)", ,"0"
"Line(03728)", ,"0"
"Line(03729)", ,"0","109130","40516"
"Line(03730)", ,"0"
"Line(03731)", ,"0"
"Line(03732)", ,"0","317","29"
"Line(03800)", ,"0","2515","624"
"Line(03901)", ,"0","26844","1247"
"Line(04100)", , ,"2234981","427563"
"Line(04200)", , ,"1"
"Line(04300)", , ,"2"
"Line(04800)", , ,"3"
"Line(05102)", ,"1689"
"Line(05103)", ,"143"
"Line(05107)", ,"113588"
"Line(05108)", ,"481"
"Line(05109)", ,"82"
"Line(05110)", ,"105"
"Line(05118)", ,"70"
"Line(05122)", ,"8423"
"Line(05123)", ,"41"
"Line(05124)", ,"15051"
"Line(05129)", ,"109130"
"Line(05132)", ,"317"
"Line(05200)", ,"2515"
"Line(05301)", ,"26844"
"Line(05500)", ,"278479"
"Line(05600)", ,"432276", ,"2245935"
"Line(05900)", ,"3023081", ,"3023081"
"Line(06100)", ,"3455357", ,"5269016"
"Line(06200)", , ,"47"
"Line(06300)", , ,"26"
"Line(06400)", , ,"1"
"Line(06500)", ,"1911472", ,"2914772"
"Line(06600)", ,"25417"
"Line(06700)", ,"1886055", ,"2914772"
"Line(06900)", ,"1886055", ,"2914772"
"Line(07000)", , ,"9"
"Line(07300)", ,"38"
"Line(07400)", ,"38","9"
"Line(07500)", , ,"38"
"Line(07700)", , ,"9","25417"
