"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E30C183)", ,"E30C183[00100]"
"Line(00100)", ,"1855997"
"Line(00200)", ,"0"
"Line(00300)", ,"97997"
"Line(00400)", ,"73534"
"Line(00500)", ,"2"
"Line(00700)", ,"4"
"Line(00900)", ,"2"
"Line(01000)", ,"22"
"Line(01100)", ,"0"
"Line(01200)", ,"134005"
"Line(01300)", ,"8465570"
"Line(01700)", ,"8465570"
"Line(01900)", ,"8465570"
"Line(02000)", ,"51360"
"Line(02100)", ,"8414210"
"Line(02200)", ,"45840"
"Line(02300)", ,"8368370"
"Line(02400)", ,"51545"
"Line(02500)", ,"33504"
"Line(02600)", ,"30970"
"Line(02700)", ,"8401874"
"Line(02900)", ,"1650"
"Line(03200)", ,"8403524"
"Line(03201)", ,"168070"
"Line(03300)", ,"8249080"
"Line(03500)", ,"-13626"
