"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (K410001)","K410001[00000]", , , , , ,"K410001[00600]","K410001[00700]"
"Line(00600)","311785", , , , , ,"311785"
"Line(01000)","436506", , , , , ,"240247","676753"
"Line(01100)","24890", , , , , ,"13699","38589"
"Line(01500)","2443", , , , , ,"1345","3788"
"Line(01600)","53387", , , , , ,"29384","82771"
"Line(01900)","49256", , , , , ,"27110","76366"
