"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G000000)", ,"G000000[00100]"
"Line(00100)", ,"4139729"
"Line(00200)", ,"215554191"
"Line(00400)", ,"167652529"
"Line(00500)", ,"68236336"
"Line(00700)", ,"21314138"
"Line(00800)", ,"4156564"
"Line(01100)", ,"481053487"
"Line(01200)", ,"8850000"
"Line(01300)", ,"140124"
"Line(01400)", ,"-3753650"
"Line(01500)", ,"339395584"
"Line(01600)", ,"-44047341"
"Line(01700)", ,"54446812"
"Line(01800)", ,"-22479867"
"Line(02300)", ,"148895450"
"Line(02400)", ,"-51522231"
"Line(02500)", ,"188709"
"Line(03000)", ,"430113590"
"Line(03100)", ,"66070739"
"Line(03400)", ,"81195984"
"Line(03500)", ,"147266723"
"Line(03600)", ,"1058433800"
"Line(03700)", ,"46655664"
"Line(03800)", ,"104505163"
"Line(04400)", ,"18613117"
"Line(04500)", ,"169773944"
"Line(04900)", ,"605075677"
"Line(05000)", ,"605075677"
"Line(05100)", ,"774849621"
"Line(05200)", ,"283584179"
"Line(05900)", ,"283584179"
