"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (K610000)", ,"K610000[00100]","K610000[00200]","K610000[00300]","K610000[00400]"
"Line(00100)", , , , ,"1276077"
"Line(00200)", , , , ,"7113"
"Line(00300)", , , , ,"179"
"Line(00400)", ,"6174"
"Line(00500)", ,"1107616"
"Line(00600)", , ,"431"
"Line(00700)", , ,"77321"
"Line(01200)", , , ,"508"
