"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (S300003)", , ,"S300003[00200]","S300003[00300]","S300003[00400]","S300003[00500]","S300003[00600]"
"Line(00100)", , ,"472592126","-3839009","468753117","10319775","45"
"Line(00200)", , ,"160778477","-6926794","153851683","1265099","122"
"Line(00300)", , ,"311813649","3087785","314901434","9054676","35"
"Line(00400)", , ,"27089792", ,"27089792","393182","69"
"Line(00500)", , ,"62429678", ,"62429678", ,"20"
"Line(00600)", , ,"401333119","3087785","404420904","9447858","43"
