"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (S300004)","S300004[00000]","S300004[00100]"
"Line(00400)", ,"18516110"
"Line(00800)", ,"33119259"
"Line(01000)", ,"-408659"
"Line(01100)", ,"2049889"
"Line(01300)", ,"1090760"
"Line(01500)", ,"4191569"
"Line(01600)", ,"35688"
"Line(01700)", ,"33519525"
"Line(01900)", ,"819905"
"Line(02300)", ,"1524916"
"Line(02400)", ,"94458962"
