"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"H010000[00100]", , ,"H010000[00400]","H010000[00500]","H010000[00600]","H010000[00700]","H010000[00800]","H010000[00900]","H010000[01000]", , , , , , , , , 
 ,"769949", , ,"51653","423698","1245300","-11419","1233881","492635","1726516", , , , , , , , , 
 ,"2063615", , ,"60254","120421","2244290", ,"2244290","-121078","2123212", , , , , , , , , 
 ,"491080", , ,"4770","57962","553812", ,"553812","-28813","524999", , , , , , , , , 
 ,"135405", , , ,"10290","145695", ,"145695","-7945","137750", , , , , , , , , 
 ,"4603", , ,"2840","2083","9526", ,"9526","-270","9256", , , , , , , , , 
 ,"30855", , ,"6105","2315","39275", ,"39275","-1810","37465", , , , , , , , , 
 ,"106393", , , ,"15435","121828", ,"121828","-6242","115586", , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"H110001[00000]", , , , ,"H110001[00500]","H110001[00600]", , , , , , , , , , , , , 
"1726516", , , , ,"1726516", , , , , , , , , , , , , , 
"2123212", , , , ,"1243359","3366571", , , , , , , , , , , , , 
"524999", , , , ,"307442","832441", , , , , , , , , , , , , 
"137750", , , , ,"80667","218417", , , , , , , , , , , , , 
"9256", , , , ,"5420","14676", , , , , , , , , , , , , 
"37465", , , , ,"21940","59405", , , , , , , , , , , , , 
"115586", , , , ,"67688","183274", , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 , , , , ,"H110002[00500]", , , , , , , , , , , , , , 
 , , , , ,"5896536", , , , , , , , , , , , , , 
 , , , , ,"4246424", , , , , , , , , , , , , , 
 , , , , ,"1049998", , , , , , , , , , , , , , 
 , , , , ,"275500", , , , , , , , , , , , , , 
 , , , , ,"18512", , , , , , , , , , , , , , 
 , , , , ,"74930", , , , , , , , , , , , , , 
 , , , , ,"231172", , , , , , , , , , , , , , 
 , , , , ,"5896536", , , , , , , , , , , , , , 
 , , , , ,"1726516", , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"H11002*[00100]","H11002*[00200]","H11002*[00300]","H11002*[00400]","H11002*[00500]", , , , , , , , , , , , , , 
