"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D30B180)", ,"D30B180[00100]","D30B180[00200]","D30B180[00300]"
"Line(04000)", , ,"11459788"
"Line(05000)", ,"0","106624","24517"
"Line(05100)", ,"1","5818","3738"
"Line(05200)", ,"0","779","292"
"Line(05300)", ,"0","95643","18506"
"Line(05400)", ,"0","105064","19970"
"Line(05500)", ,"0","21713","3825"
"Line(05501)", ,"0","3501","625"
"Line(05700)", ,"0","103111","11878"
"Line(05800)", ,"0","206486","25462"
"Line(05900)", ,"0","8221","1041"
"Line(06000)", ,"0","569932","77016"
"Line(06001)", ,"0","133","59"
"Line(06300)", ,"0","50607","14518"
"Line(06400)", ,"0","18"
"Line(06500)", ,"0","60646","15602"
"Line(06600)", ,"0","312820","132220"
"Line(06900)", ,"0","15520","928"
"Line(06901)", ,"0","4036","997"
"Line(07000)", ,"0","40770","16169"
"Line(07100)", ,"0","8027","2337"
"Line(07200)", ,"0","5444","1785"
"Line(07300)", ,"0","440477","164015"
"Line(07400)", ,"1","3382","1860"
"Line(07600)", ,"0","320522","82895"
"Line(07697)", ,"1","5","4"
"Line(09000)", ,"1","10332","7358"
"Line(09100)", ,"0","504024","151242"
"Line(09200)", ,"0"
"Line(09201)", ,"0","4408","567"
"Line(09400)", ,"0"
"Line(20000)", , ,"3008063","779426"
