"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D10A181)", ,"D10A181[00100]","D10A181[00200]","D10A181[00300]","D10A181[00400]","D10A181[00500]"
"Line(00100)", ,"250846"
"Line(00200)", ,"250846"
"Line(00400)", ,"240334"
"Line(00900)", ,"103950"
"Line(02100)", ,"344820114"
"Line(02700)", ,"344820114"
"Line(03700)", ,"344820114"
"Line(03800)", ,"1375"
"Line(03900)", ,"142892789"
"Line(04100)", ,"142892789"
"Line(04300)", ,"21630084","5950","3635","4856","17653065"
"Line(04400)", ,"14316025","4971","2880","2247","6471158"
"Line(04500)", ,"2834311","2190","1294","464","600513"
"Line(04600)", ,"17734881","4734","3746","2041","7646157"
"Line(04700)", ,"55489578","18617","2981","5711","17022149"
"Line(04701)", ,"24823332","7043","3525"
"Line(04800)", ,"202083609"
"Line(04900)", ,"394369440"
"Line(05000)", ,"14389251"
"Line(05100)", ,"14560768"
"Line(05200)", ,"28950019"
"Line(05300)", ,"365419421"
"Line(08700)", ,"10512"
"Line(08800)", ,"1375"
"Line(08900)", ,"14450111"
"Line(09000)", ,"26520684","344820114","0","14450111","1111387"
"Line(09100)", ,"974360","344820114","0","14450111","40836"
"Line(09200)", ,"192140","344820114","0","14450111","8049"
