"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D30A180)", ,"D30A180[00100]","D30A180[00200]","D30A180[00300]"
"Line(03000)", , ,"389448030"
"Line(03100)", , ,"39443696"
"Line(03200)", , ,"18275592"
"Line(03300)", , ,"3765968"
"Line(03400)", , ,"16605664"
"Line(03500)", , ,"46488305"
"Line(05000)", ,"0","239329441","55032130"
"Line(05100)", ,"1","11337732","7284413"
"Line(05200)", ,"0","1574960","589810"
"Line(05300)", ,"0","33253583","6434269"
"Line(05400)", ,"0","59933661","11392070"
"Line(05500)", ,"0","3209602","565349"
"Line(05501)", ,"0","671893","119950"
"Line(05700)", ,"0","38125580","4391838"
"Line(05800)", ,"0","21517034","2653287"
"Line(05900)", ,"0","36174971","4582247"
"Line(06000)", ,"0","114532526","15477009"
"Line(06001)", ,"0","32976","14695"
"Line(06300)", ,"0","32663203","9370256"
"Line(06400)", ,"0","61308","1013"
"Line(06500)", ,"0","26021158","6694229"
"Line(06600)", ,"0","14829473","6267988"
"Line(06900)", ,"0","2710357","162066"
"Line(06901)", ,"0","21140715","5224082"
"Line(07000)", ,"0","4967283","1969955"
"Line(07100)", ,"0","30182688","8785758"
"Line(07200)", ,"0","31340901","10275804"
"Line(07300)", ,"0","66785864","24868184"
"Line(07400)", ,"1","7878554","4333173"
"Line(07600)", ,"0","5179462","1339538"
"Line(07697)", ,"1","1306","976"
"Line(09000)", ,"1","3349894","2385748"
"Line(09100)", ,"0","38292498","11490392"
"Line(09200)", ,"0","1260774","278820"
"Line(09201)", ,"0","342985","44091"
"Line(09400)", ,"0","261420","54469"
"Line(20000)", , ,"846963802","202083609"
