"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D00A183)", ,"D00A183[00100]","D00A183[00200]", , ,"D00A183[00500]","D00A183[00600]","D00A183[00700]","D00A183[00800]","D00A183[00900]"
"Line(03000)", ,"974360","192140", , ,"1166500","250846","5","103950","483368"
"Line(03100)", , ,"3052", , ,"3052","5950","1","4856","2477"
"Line(03200)", , ,"2548", , ,"2548","4971","1","2247","1146"
"Line(03300)", , ,"1007", , ,"1007","2190","0","464","213"
"Line(03400)", , ,"2425", , ,"2425","4734","1","2041","1041"
"Line(03500)", , ,"37486", , ,"37486","18617","2","5711","11479"
"Line(03501)", , ,"3493", , ,"3493","7043","1"
"Line(04000)", ,"45423","1986", , ,"47409","8548","6","3107","17244"
"Line(04300)", , ,"3420", , ,"3420","13731","0"
