"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D30A180)", ,"D30A180[00100]","D30A180[00200]","D30A180[00300]"
"Line(03000)", , ,"110737409"
"Line(03100)", , ,"16570860"
"Line(05000)", ,"1","40135929","21806653"
"Line(05300)", ,"0","11271364","3925895"
"Line(05400)", ,"0","37357148","6834677"
"Line(05401)", ,"0","1766553","107489"
"Line(05500)", ,"0","4814404","1402388"
"Line(05600)", ,"0","458734","190471"
"Line(05900)", ,"0","2187153","664829"
"Line(06001)", ,"1","5065266","3028923"
"Line(06002)", ,"0","76318338","10248026"
"Line(06200)", ,"0","17143670","6356839"
"Line(06201)", ,"1","3898961","2415383"
"Line(06500)", ,"0","29877943","4981609"
"Line(06600)", ,"1","6453281","3702002"
"Line(06900)", ,"0","6404235","751876"
"Line(07000)", ,"0","497501","126908"
"Line(07100)", ,"1","7174864","5271695"
"Line(07200)", ,"1","2737541","2357707"
"Line(07300)", ,"0","168542191","51643350"
"Line(09001)", ,"2","23961","48532"
"Line(09002)", ,"0","1404381","685636"
"Line(09003)", ,"2","6865","13860"
"Line(09004)", ,"2","2239","5457"
"Line(09005)", ,"1","2627971","1596986"
"Line(09006)", ,"2","277377","582420"
"Line(09007)", ,"2","125457","249845"
"Line(09008)", ,"0","1475319","416679"
"Line(09009)", ,"2","130182","242645"
"Line(09010)", ,"3","123164","312726"
"Line(09011)", ,"1","23728","23352"
"Line(09012)", ,"3","17054","46419"
"Line(09013)", ,"2","10176","18750"
"Line(09014)", ,"0","11394132","4116039"
"Line(09015)", ,"1","64454","96077"
"Line(09016)", ,"2","40054","88101"
"Line(09017)", ,"4","28226","108308"
"Line(09018)", ,"3","44252","116188"
"Line(09019)", ,"1","43947","33559"
"Line(09020)", ,"1","1190342","1344990"
"Line(09021)", ,"1","100883","126549"
"Line(09022)", ,"0","572744","144132"
"Line(09023)", ,"4"
"Line(09024)", ,"2","7613","17456"
"Line(09025)", ,"1","64567","56442"
"Line(09026)", ,"2","50795","93270"
"Line(09027)", ,"0","41329","13097"
"Line(09028)", ,"1","44578","23307"
"Line(09029)", ,"0","24743","11901"
"Line(09030)", ,"0","55024","24617"
"Line(09200)", ,"1","107533","112325"
"Line(09700)", ,"1","29298","33143"
"Line(20000)", , ,"442257464","136619528"
