"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D30A190)", , ,"D30A190[00200]","D30A190[00300]"
"Line(03000)", , ,"8253543"
"Line(03100)", , ,"720759"
"Line(05000)", , ,"2525239"
"Line(05300)", , ,"781584"
"Line(05400)", , ,"2781420"
"Line(05401)", , ,"34"
"Line(05500)", , ,"918640"
"Line(05600)", , ,"53364"
"Line(05900)", , ,"4796"
"Line(06001)", , ,"3571904"
"Line(06002)", , ,"3216229"
"Line(06201)", , ,"183734"
"Line(06500)", , ,"1330129"
"Line(06600)", , ,"351863"
"Line(06900)", , ,"142079"
"Line(07000)", , ,"193698"
"Line(07100)", , ,"130623"
"Line(07300)", , ,"14648067"
"Line(09001)", , ,"1986"
"Line(09002)", , ,"16772"
"Line(09003)", , ,"77"
"Line(09004)", , ,"77"
"Line(09005)", , ,"118713"
"Line(09006)", , ,"103029"
"Line(09007)", , ,"10618"
"Line(09008)", , ,"2977"
"Line(09009)", , ,"7549"
"Line(09010)", , ,"13338"
"Line(09011)", , ,"1675"
"Line(09012)", , ,"1414"
"Line(09013)", , ,"844"
"Line(09014)", , ,"900648"
"Line(09015)", , ,"3831"
"Line(09016)", , ,"3319"
"Line(09017)", , ,"2209"
"Line(09018)", , ,"2572"
"Line(09019)", , ,"6180"
"Line(09020)", , ,"39273"
"Line(09021)", , ,"6598"
"Line(09022)", , ,"30949"
"Line(09024)", , ,"631"
"Line(09025)", , ,"11250"
"Line(09026)", , ,"2630"
"Line(09027)", , ,"2455"
"Line(09028)", , ,"4419"
"Line(09029)", , ,"1703"
"Line(09030)", , ,"4120"
"Line(09200)", , ,"131547"
