"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E10A181)","E10A181[00000]","E10A181[00100]","E10A181[00200]","E10A181[00300]","E10A181[00400]"
"Line(00100)", , ,"204877224", ,"295061547"
"Line(00301)", ,"04/17/2014","5385328","04/17/2014","1232550"
"Line(00302)", ,"07/07/2014","1816","07/07/2014","9507"
"Line(00399)", , ,"5387144", ,"1242057"
"Line(00400)", , ,"210264368", ,"296303604"
"Line(00602)", , , , ,"23364024"
"Line(00700)", , ,"218638586", ,"272939580"
