"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E40A180)", ,"E40A180[00100]","E40A180[00200]","E40A180[00300]"
"Line(00100)", ,"157"
"Line(00500)", ,"157"
"Line(00600)", ,"300"
"Line(00700)", ,"157"
"Line(00800)", ,"38","160","198"
"Line(00900)", ,"20","84","104"
"Line(01000)", , ,"2"
"Line(01100)", ,"20","86"
"Line(01200)", ,"9","103"
"Line(01300)", ,"8","106"
"Line(01400)", ,"12","98"
"Line(01700)", ,"12","98"
"Line(01800)", ,"105636","99872"
"Line(01900)", ,"1307769","9810436","11118205"
"Line(02100)", ,"143"
"Line(02500)", ,"11118205"
"Line(02600)", ,"61997","6705"
"Line(02700)", ,"201761","201761"
"Line(02800)", ,"0","0"
"Line(02900)", ,"3416391","369480"
"Line(03000)", , ,"52208"
"Line(03100)", , , ,"3733663"
"Line(03700)", ,"226408473"
"Line(04000)", ,"100687"
"Line(04100)", ,"226307786"
"Line(04200)", ,"349883700"
"Line(04300)", ,"23094"
"Line(04400)", ,"349860606"
"Line(04500)", ,"576168392"
"Line(04600)", ,"0"
"Line(04700)", ,"1"
"Line(04800)", ,"3733663"
"Line(04900)", ,"1466512"
