"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[549652] Report(D00A181)", ,"D00A181[00100]", ,"D00A181[00300]","D00A181[00400]","D00A181[00500]","D00A181[00600]","D00A181[00700]"
"Line(03000)", ,"26944410", ,"26944410","194550","139","58212","8062362"
"Line(03100)", ,"3232334", ,"3232334","11249","287","3785","1087582"
