"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (K110000)", ,"K110000[00100]", ,"K110000[00300]", ,"K110000[00500]", ,"K110000[00700]","K110000[00800]","K110000[00900]"
"Line(00600)", ,"305781", , , , , , , ,"305781"
"Line(01000)", , , , , ,"1552994", , , ,"1552994"
"Line(01500)", , , ,"354101", , , , , ,"354101"
"Line(01600)", , , , , , , , ,"182883","182883"
"Line(01900)", , , , , , , ,"214622", ,"214622"
"Line(02100)", , , , , , , , ,"240957","240957"
