"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D10E181)", ,"D10E181[00100]"
"Line(00100)", ,"9636"
"Line(00200)", ,"9636"
"Line(00400)", ,"9636"
"Line(00900)", ,"3086"
"Line(02100)", ,"6316847"
"Line(02700)", ,"6316847"
"Line(03700)", ,"6316847"
"Line(07000)", ,"6316847"
"Line(07100)", ,"656"
"Line(07200)", ,"2023027"
"Line(07400)", ,"2023027"
"Line(08300)", ,"2023027"
"Line(08400)", ,"1300172"
