"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D30A180)", ,"D30A180[00100]","D30A180[00200]","D30A180[00300]"
"Line(03000)", , ,"78301616"
"Line(03100)", , ,"30903771"
"Line(03102)", , ,"15800"
"Line(05000)", ,"0","44729093","10285544"
"Line(05001)", ,"0"
"Line(05200)", ,"0","209480","62526"
"Line(05300)", ,"0","12279376","3545793"
"Line(05301)", ,"0","1630","354"
"Line(05400)", ,"0","21125967","5380002"
"Line(05413)", ,"0","2092","659"
"Line(05500)", ,"0","1194293","199119"
"Line(05600)", ,"0","966693","136271"
"Line(05601)", ,"0","9385","2266"
"Line(05700)", ,"0","16207146","1205050"
"Line(05701)", ,"0"
"Line(05800)", ,"0","6334724","720100"
"Line(05801)", ,"0"
"Line(05900)", ,"0","14096367","2380327"
"Line(06000)", ,"0","40816939","3119639"
"Line(06005)", ,"0","8650881","1964459"
"Line(06006)", ,"0","143098","55966"
"Line(06016)", ,"0","5849","2005"
"Line(06300)", ,"0","12773489","2273873"
"Line(06301)", ,"0","88","4"
"Line(06400)", ,"0","34533","13810"
"Line(06500)", ,"0","23867500","4854530"
"Line(06501)", ,"0","95785","20349"
"Line(06502)", ,"0","2012","576"
"Line(06600)", ,"0","6893923","1391476"
"Line(06602)", ,"0","974","346"
"Line(06700)", ,"0","4863180","656310"
"Line(06702)", ,"0"
"Line(06800)", ,"0","1225515","414613"
"Line(06802)", ,"0","20819","6340"
"Line(06803)", ,"0","1668","276"
"Line(06900)", ,"0","3631592","464942"
"Line(06901)", ,"0","154","3"
"Line(07000)", ,"0","2497083","701800"
"Line(07100)", ,"0","48080694","21453365"
"Line(07101)", ,"1"
"Line(07200)", ,"0","51367665","14476384"
"Line(07201)", ,"0"
"Line(07300)", ,"0","52432916","16298720"
"Line(07301)", ,"0"
"Line(07400)", ,"0","2370716","597169"
"Line(07602)", ,"0","2043","476"
"Line(09000)", ,"0","16484022","5841871"
"Line(09001)", ,"1","36159","20334"
"Line(09002)", ,"1","21531","11306"
"Line(09003)", ,"0","56204","19975"
"Line(09004)", ,"0","49907","18035"
"Line(09005)", ,"0","9546","3116"
"Line(09006)", ,"0","108482","19299"
"Line(09007)", ,"0","10441","3436"
"Line(09008)", ,"0"
"Line(09009)", ,"1","4877","4220"
"Line(09010)", ,"0","5164","2300"
"Line(09011)", ,"0"
"Line(09012)", ,"1","650","341"
"Line(09013)", ,"0","2707","962"
"Line(09014)", ,"0","11316","4398"
"Line(09015)", ,"0","1200","538"
"Line(09016)", ,"0","6473","3227"
"Line(09017)", ,"0","32359","10181"
"Line(09018)", ,"0","24945","11474"
"Line(09020)", ,"1"
"Line(09100)", ,"0","20666733","4830932"
"Line(09101)", ,"0","6791","1793"
"Line(09200)", ,"0","1995548","972939"
"Line(09400)", ,"0"
"Line(20000)", , ,"416470417","104466119"
