"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (K120000)", ,"K120000[00100]","K120000[00200]","K120000[00300]", ,"K120000[00500]", ,"K120000[00700]","K120000[00800]","K120000[00900]"
"Line(00600)", ,"70908","982", , , , , , ,"71890"
"Line(01000)", , , , , ,"664785", , , ,"664785"
"Line(01500)", , , ,"71294", , , , , ,"71294"
"Line(01600)", , , , , , , , ,"46949","46949"
"Line(01900)", , , , , , , ,"128588", ,"128588"
"Line(02100)", , , , , , , , ,"117599","117599"
