"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (S300003)", , ,"S300003[00200]","S300003[00300]","S300003[00400]","S300003[00500]","S300003[00600]"
"Line(00100)", , ,"482264950","-180043968","302220982","8670564","35"
"Line(00200)", , ,"31119513","-1834178","29285335","1021675","29"
"Line(00300)", , ,"451145437","-178209790","272935647","7648889","36"
"Line(00400)", , ,"89828339", ,"89828339","3115694","29"
"Line(00500)", , , ,"52226141","52226141", ,"19"
"Line(00600)", , ,"540973776","-125983649","414990127","10764583","39"
