"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D00A195)", , , , ,"D00A195[00400]", , ,"D00A195[00700]"
"Line(05000)", , , , ,"411869"
"Line(05001)", , , , ,"579021"
"Line(05200)", , , , ,"836221"
"Line(05300)", , , , ,"51760"
"Line(05301)", , , , ,"75947"
"Line(05400)", , , , ,"396306"
"Line(05413)", , , , ,"59"
"Line(05500)", , , , ,"2321"
"Line(05600)", , , , ,"51"
"Line(05700)", , , , ,"47"
"Line(05800)", , , , ,"21"
"Line(05801)", , , , ,"8"
"Line(05900)", , , , ,"177767"
"Line(06000)", , , , ,"166273"
"Line(06005)", , , , ,"4"
"Line(06300)", , , , ,"39006"
"Line(06301)", , , , ,"3213"
"Line(06400)", , , , ,"1218"
"Line(06500)", , , , ,"330454"
"Line(06501)", , , , ,"24672"
"Line(06502)", , , , ,"54738"
"Line(06600)", , , , ,"90862"
"Line(06602)", , , , ,"69455"
"Line(06700)", , , , ,"1325"
"Line(06702)", , , , ,"6789"
"Line(06800)", , , , ,"9011"
"Line(06802)", , , , ,"70"
"Line(06803)", , , , ,"1464"
"Line(06900)", , , , ,"14"
"Line(07000)", , , , ,"120576"
"Line(07100)", , , , ,"151591"
"Line(07300)", , , , ,"3456179"
"Line(09000)", , , , ,"932480"
"Line(09001)", , , , ,"121129"
"Line(09002)", , , , ,"33924"
"Line(09003)", , , , ,"29482"
"Line(09004)", , , , ,"86047"
"Line(09005)", , , , ,"19457"
"Line(09006)", , , , ,"5332"
"Line(09007)", , , , ,"10504"
"Line(09008)", , , , ,"109867"
"Line(09009)", , , , ,"31953"
"Line(09010)", , , , ,"13981"
"Line(09011)", , , , ,"112905"
"Line(09012)", , , , ,"4173"
"Line(09013)", , , , ,"9818"
"Line(09014)", , , , ,"233528"
"Line(09015)", , , , ,"10668"
"Line(09016)", , , , ,"16557"
"Line(09017)", , , , ,"179431"
"Line(09018)", , , , ,"24171"
"Line(09020)", , , , ,"216354"
"Line(09100)", , , , ,"470280"
"Line(09101)", , , , ,"617590"
"Line(09200)", , , , ,"366837"
"Line(20000)", , , , ,"10714780", , ,"3122104"
