"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D00A183)", , ,"D00A183[00200]", , ,"D00A183[00500]","D00A183[00600]","D00A183[00700]","D00A183[00800]","D00A183[00900]"
"Line(03000)", , ,"499759", , ,"499759","122422","4","48871","199394"
"Line(03100)", , ,"70792", , ,"70792","15730","5","7141","32135"
"Line(03101)", , ,"53020", , ,"53020","11781","5"
"Line(03102)", , ,"13888", , ,"13888","3086","5","4","18"
"Line(04000)", , ,"21809", , ,"21809","4846","5","1614","7263"
"Line(04300)", , ,"14987", , ,"14987","3330","5"
"Line(04400)", , ,"43366", , ,"43366","9636","5","3086","13887"
