"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (K210000)", ,"K210000[00100]", ,"K210000[00300]", ,"K210000[00500]", ,"K210000[00700]","K210000[00800]","K210000[00900]"
"Line(00600)", ,"57900", , , , , , , ,"57900"
"Line(01000)", , , , , ,"294060", , , ,"294060"
"Line(01500)", , , ,"67048", , , , , ,"67048"
"Line(01600)", , , , , , , , ,"34629","34629"
"Line(01900)", , , , , , , ,"40639", ,"40639"
"Line(02100)", , , , , , , , ,"45625","45625"
