"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G000000)", ,"G000000[00100]"
"Line(00100)", ,"188592762"
"Line(00200)", ,"7147730"
"Line(00400)", ,"70789095"
"Line(00500)", ,"31840860"
"Line(00700)", ,"17046348"
"Line(00800)", ,"14881504"
"Line(01000)", ,"-630936186"
"Line(01100)", ,"-300637887"
"Line(01200)", ,"40269302"
"Line(01300)", ,"13805109"
"Line(01400)", ,"-12839276"
"Line(01500)", ,"617138489"
"Line(01600)", ,"-246627652"
"Line(01900)", ,"107353095"
"Line(02000)", ,"-76789672"
"Line(02300)", ,"319331236"
"Line(02400)", ,"-259983506"
"Line(03000)", ,"501657125"
"Line(03100)", ,"986062244"
"Line(03400)", ,"29573642"
"Line(03500)", ,"1015635886"
"Line(03600)", ,"1216655124"
"Line(03700)", ,"42696434"
"Line(03800)", ,"14900869"
"Line(04400)", ,"14927651"
"Line(04500)", ,"72524954"
"Line(04900)", ,"49958932"
"Line(05000)", ,"49958932"
"Line(05100)", ,"122483886"
"Line(05200)", ,"1094171238"
"Line(05900)", ,"1094171238"
