"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (I2D0000)", ,"I2D0000[00100]","I2D0000[00200]","I2D0000[00300]","I2D0000[00400]","I2D0000[00500]", , , ,"I2D0000[00900]","I2D0000[01000]","I2D0000[01100]"
"Line(00100)", ,"1490113","1565396","2635139","2282645","1250159", , , ,"9223452","4775743","13999195"
"Line(00200)", ,"1243870","1306712","2199679","1905435","1043569", , , ,"7699265","3986545","11685810"
"Line(00300)", ,"246243","258684","435460","377210","206590", , , ,"1524187","789198","2313385"
"Line(01700)", ,"1490113","1565396","2635139","2282645","1250159", , , ,"9223452","4775743","13999195"
