"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (H120001)","H120001[00000]", , , , ,"H120001[00500]","H120001[00600]"
"Line(00500)","210868", , , , ,"210868"
"Line(00600)","1795326", , , , ,"149586","1944912"
"Line(00700)","515010", , , , ,"42911","557921"
"Line(00800)","34505", , , , ,"2875","37380"
"Line(01000)","104950", , , , ,"8744","113694"
"Line(01100)","81034", , , , ,"6752","87786"
