"509763", , , , , ,"81340","591103", , , , , , , , , , , , 
"619833", , , , , ,"98904","718737", , , , , , , , , , , , 
"666185", , , , , ,"106300","772485", , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 , , , , , ,"K410002[00600]", , , , , , , , , , , , , 
 , , , , , ,"5335170", , , , , , , , , , , , , 
 , , , , , ,"2521649", , , , , , , , , , , , , 
 , , , , , ,"1017740", , , , , , , , , , , , , 
 , , , , , ,"509763", , , , , , , , , , , , , 
 , , , , , ,"619833", , , , , , , , , , , , , 
 , , , , , ,"666185", , , , , , , , , , , , , 
 , , , , , ,"851306", , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"K41002*[00100]","K41002*[00200]","K41002*[00300]","K41002*[00400]","K41002*[00500]","K41002*[00600]", , , , , , , , , , , , , 
 ,"CAPITAL","CAPITAL","PLANT","TRANS-","VOLUNT.","ADMINIS-", , , , , , , , , , , , , 
 ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","SERVICES","TRATIVE &", , , , , , , , , , , , , 
 ,"FIXTURES","EQUIPMENT","MAINT.","ION","COORDI.","GENERAL", , , , , , , , , , , , , 
 ,"SQUARE","DOLLAR","SQUARE","MILEAGE","HOURS OF","ACCUM.", , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"K420001[00000]", , , , , ,"K420001[00600]","K420001[00700]", , , , , , , , , , , , 
"220559", , , , , ,"220559", , , , , , , , , , , , , 
"1608483", , , , , ,"138463","1746946", , , , , , , , , , , , 
"223725", , , , , ,"19259","242984", , , , , , , , , , , , 
"147291", , , , , ,"12679","159970", , , , , , , , , , , , 
"393521", , , , , ,"33875","427396", , , , , , , , , , , , 
"50246", , , , , ,"4325","54571", , , , , , , , , , , , 
"138918", , , , , ,"11958","150876", , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 , , , , , ,"K420002[00600]", , , , , , , , , , , , , 
 , , , , , ,"2562184", , , , , , , , , , , , , 
 , , , , , ,"1608483", , , , , , , , , , , , , 
 , , , , , ,"223725", , , , , , , , , , , , , 
 , , , , , ,"147291", , , , , , , , , , , , , 
 , , , , , ,"393521", , , , , , , , , , , , , 
 , , , , , ,"50246", , , , , , , , , , , , , 
 , , , , , ,"138918", , , , , , , , , , , , , 
 , , , , , ,"220559", , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"K42002*[00100]","K42002*[00200]","K42002*[00300]","K42002*[00400]","K42002*[00500]","K42002*[00600]", , , , , , , , , , , , , 
 ,"CAPITAL","CAPITAL","PLANT","TRANS-","VOLUNT.","ADMINIS-", , , , , , , , , , , , , 
 ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","SERVICES","TRATIVE &", , , , , , , , , , , , , 
 ,"FIXTURES","EQUIPMENT","MAINT.","ION","COORDI.","GENERAL", , , , , , , , , , , , , 
 ,"SQUARE","DOLLAR","SQUARE","MILEAGE","HOURS OF","ACCUM.", , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"K510001[00000]","K510001[00100]","K510001[00200]", ,"K510001[00400]","K510001[00500]", ,"K510001[00700]", ,"K510001[00900]", ,"K510001[01100]", ,"K510001[01300]", , ,"K510001[01600]","K510001[01700]", , , , , , ,"K510001[02400]", ,"K510001[02600]","K510001[02700]","K510001[02800]"
 ,"85415","6735", ,"636678","149652", ,"33584", ,"2817", ,"35854", ,"2693", , ,"10589","1511683", , , , , , ,"2475700", ,"2475700"
"2924015", , , , ,"600393", , , , , , , , , , , , , , , , , , ,"3524408", ,"3524408","1170129","4694537"
"1180136", , , , ,"242320", , , , , , , , , , , , , , , , , , ,"1422456", ,"1422456","472267","1894723"
"591103", , , , ,"121372", , , , , , , , , , , , , , , , , , ,"712475", ,"712475","236547","949022"
"718737", , , , ,"147580", , , , , , , , , , , , , , , , , , ,"866317", ,"866317","287624","1153941"
"772485", , , , ,"158616", , , , , , , , , , , , , , , , , , ,"931101", ,"931101","309133","1240234"
"6186476","85415","6735", ,"636678","1419933", ,"33584", ,"2817", ,"35854", ,"2693", , ,"10589","1511683", , , , , , ,"9932457", ,"9932457", ,"9932457"
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"K510002[00100]","K510002[00200]", ,"K510002[00400]","K510002[00500]","K510002[00600]","K510002[00700]", ,"K510002[00900]", ,"K510002[01100]", ,"K510002[01300]", , ,"K510002[01600]","K510002[01700]", , 
 ,"43386","2263", ,"2851338","728828","2786","2786", ,"13385", ,"98189", ,"2722", , ,"8064633","267827", , 
 , , , , ,"2924015", , , , , , , , , , , , , , 
 , , , , ,"1180136", , , , , , , , , , , , , , 
 , , , , ,"591103", , , , , , , , , , , , , , 
 , , , , ,"718737", , , , , , , , , , , , , , 
 , , , , ,"772485", , , , , , , , , , , , , , 
 ,"43386","2263", ,"2851338","6915304","2786","2786", ,"13385", ,"98189", ,"2722", , ,"8064633","267827", , 
 ,"85415","6735", ,"636678","1419933", ,"33584", ,"2817", ,"35854", ,"2693", , ,"10589","1511683", , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"K510003[00100]", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"1", , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"K520001[00000]", ,"K520001[00200]", ,"K520001[00400]","K520001[00500]", , , , , ,"K520001[01100]", ,"K520001[01300]", , ,"K520001[01600]","K520001[01700]", , , , , , ,"K520001[02400]", ,"K520001[02600]","K520001[02700]","K520001[02800]"
 , ,"449", ,"245867","50577", , , , , ,"12338", ,"92326", , ,"4818","373424", , , , , , ,"779799", ,"779799"
