"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (H510000)","H510000[00000]","H510000[00100]","H510000[00200]", ,"H510000[00400]"
"Line(00100)", , ,"366495", ,"4398709"
"Line(00400)", , ,"366495", ,"4398709"
"Line(00602)", , , , ,"107"
"Line(00700)", , ,"366495"
