"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (S500000)", ,"S500000[00100]","S500000[00200]","S500000[00300]","S500000[00400]","S500000[00500]","S500000[00600]"
"Line(00100)", , ,"439", , ,"46","23"
"Line(00200)", , ,"3","6","7","6","7"
"Line(00300)", , ,"6"
"Line(00400)", , , , ,"4", ,"4"
"Line(00500)", , ,"313"
"Line(00600)", , ,"116"
"Line(00700)", , ,"3"
"Line(01001)", ,"N"
"Line(01002)", ,"Y"
"Line(01100)", ,"56"
"Line(01200)", ,"9"
