"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (H420182)", ,"H420182[00100]","H420182[00200]"
"Line(01100)", ,"174018","1234244"
"Line(01200)", ,"10609","17561"
"Line(01300)", ,"716","14892"
"Line(01400)", , ,"8290"
"Line(01500)", ,"5584","5202"
"Line(02200)", ,"190927","1280189"
"Line(02400)", ,"190927","1280189"
"Line(02600)", ,"190927","1280189"
"Line(02900)", ,"190927","1280189"
"Line(03100)", ,"190927","1280189"
"Line(03101)", ,"3819","25604"
"Line(03200)", ,"187108","1254690"
