"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (K010000)", ,"K010000[00100]","K010000[00200]","K010000[00300]", ,"K010000[00500]","K010000[00600]","K010000[00700]","K010000[00800]","K010000[00900]","K010000[01000]"
"Line(00600)", ,"305781","57900","5900", ,"481725","851306", ,"851306", ,"851306"
"Line(01000)", ,"1552994","294060","103254", ,"2446577","4396885","-1331752","3065133","-543484","2521649"
"Line(01500)", ,"354101","67048","38742", ,"557849","1017740", ,"1017740", ,"1017740"
"Line(01600)", ,"182883","34629","4138", ,"288113","509763", ,"509763", ,"509763"
"Line(01900)", ,"214622","40639","26459", ,"338113","619833", ,"619833", ,"619833"
"Line(02100)", ,"240957","45625", , ,"379603","666185", ,"666185", ,"666185"
