"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (H410182)", ,"H410182[00100]","H410182[00200]"
"Line(01100)", ,"360596","4267125"
"Line(01200)", ,"5823","104744"
"Line(01300)", ,"3198","47021"
"Line(01400)", ,"1344","29176"
"Line(01500)", ,"3014","40037"
"Line(01600)", , ,"267"
"Line(02200)", ,"373975","4488370"
"Line(02400)", ,"373975","4488370"
"Line(02600)", ,"373975","4488370"
"Line(02900)", ,"373975","4488370"
"Line(03100)", ,"373975","4488370"
"Line(03101)", ,"7480","89768"
"Line(03200)", ,"366495","4398709"
