 ,"724885", , , , , , , , , , , , , , , , , , 
 ,"724885", , , , , , , , , , , , , , , , , , 
 ,"135175", , , , , , , , , , , , , , , , , , 
 ,"6441", , , , , , , , , , , , , , , , , , 
 ,"62557", , , , , , , , , , , , , , , , , , 
 ,"190765", , , , , , , , , , , , , , , , , , 
 ,"56994", , , , , , , , , , , , , , , , , , 
 ,"114879", , , , , , , , , , , , , , , , , , 
 ,"1291696", , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"I2D0000[00100]","I2D0000[00200]","I2D0000[00300]","I2D0000[00400]","I2D0000[00500]", , , ,"I2D0000[00900]","I2D0000[01000]","I2D0000[01100]", , , , , , , , 
 ,"1490113","1565396","2635139","2282645","1250159", , , ,"9223452","4775743","13999195", , , , , , , , 
 ,"1243870","1306712","2199679","1905435","1043569", , , ,"7699265","3986545","11685810", , , , , , , , 
 ,"246243","258684","435460","377210","206590", , , ,"1524187","789198","2313385", , , , , , , , 
 ,"1490113","1565396","2635139","2282645","1250159", , , ,"9223452","4775743","13999195", , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"I2H0000[00100]","I2H0000[00200]", , ,"I2H0000[00500]", , , ,"I2H0000[00900]","I2H0000[01000]","I2H0000[01100]", , , , , , , , 
 ,"192169","6441", , ,"62557", , , ,"261167","1030529","1291696", , , , , , , , 
 ,"40480","1357", , ,"13177", , , ,"55014","217078","272092", , , , , , , , 
 ,"151689","5084", , ,"49380", , , ,"206153","813451","1019604", , , , , , , , 
 ,"192169","6441", , ,"62557", , , ,"261167","1030529","1291696", , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"I3D0000[00100]","I3D0000[00200]","I3D0000[00300]","I3D0000[00400]","I3D0000[00500]","I3D0000[00600]","I3D0000[00700]","I3D0000[00800]","I3D0000[00900]","I3D0000[01000]", , , , , , , , , 
 ,"1490113","1565396","2635139","2282645","1250159", , , ,"9223452","4775743", , , , , , , , , 
 ,"51802","51802","51802","51802","51802","51802","51802","51802", , , , , , , , , , , 
 ,"10255","10255","10255","10255","10255","10255","10255","10255", , , , , , , , , , , 
 ,"62057","62057","62057","62057","62057","62057","62057","62057", ,"9223452", , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
